,MRP,Processor,RAM_size,bit,SSD_Storage,OS,RAM_Type,Display
0,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
1,39990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
2,32990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
3,49990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
4,49990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
5,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
6,38990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
7,39990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
8,46990,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,35.56
9,44990,AMD Ryzen 7 Quad Core Processor,16,64,512 GB ,Windows 11,DDR4,35.56
10,59990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
11,38705,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
12,32990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
13,52990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
14,29990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
15,196990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
16,47990,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
17,45990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
18,47990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
19,85990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
20,88990,Apple M1 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
21,40990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
22,19490,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 11,DDR4,39.62
23,35590,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
24,65990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
28,58990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
32,24990,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
33,47990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
34,73990,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
35,53490,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
37,150990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
38,51990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
39,66990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
41,194990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
42,51990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
43,25990,AMD Athlon Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,35.56
44,35990,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
45,43990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
46,44990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
47,64490,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
48,40990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
49,38990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
52,58990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
53,59990,Intel Evo Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
54,47990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
55,37499,AMD Ryzen 3 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
58,94990,AMD Ryzen 9 Octa Core Processor,8,64,1 TB ,Windows 10,DDR4,35.56
59,32990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
62,23990,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 11,DDR4,35.56
63,48990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,35.56
64,139990,Apple M2 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
65,89990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
68,59990,AMD Ryzen 5 Hexa Core Processor,8,64,1 TB ,Windows 11,DDR4,39.62
69,70990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
72,22990,Intel Celeron Quad Core Processor,8,64,256 GB ,Windows 11,DDR4,35.56
73,46990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
74,50990,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
75,28990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
78,84990,Intel Core i7 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
79,181990,Apple M1 Pro Processor,16,64,512 GB ,Windows 11,DDR4,36.07
82,109990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
83,32990,Qualcomm Snapdragon 7c Gen 2 Processor,4,64,512 GB ,Windows 11,DDR4,35.56
84,37990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
85,139990,Apple M2 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
88,29990,Intel Core i3 Processor,4,64,256 GB ,Windows 11,DDR4,39.62
89,19490,Intel Celeron Dual Core Processor,4,64,512 GB ,Chrome,DDR4,35.56
91,73490,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
92,52990,AMD Ryzen 5 Hexa Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
93,41890,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
94,30428,Intel Pentium Silver Processor,8,64,256 GB ,Windows 11,DDR4,39.62
95,34990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
98,88990,Apple M1 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
100,65990,Intel Core i7 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
101,33490,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
102,60990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
105,59990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
106,114990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
108,119990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
109,42990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
110,89990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR5,39.62
112,79990,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
113,70990,Intel Core i5 Processor,8,64,1 TB ,Windows 11,DDR4,39.62
114,33900,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
117,52990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
118,124990,Apple M1 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
120,31990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
121,66990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
122,89081,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
124,104990,Apple M1 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
125,53490,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
126,45990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
128,45990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
129,51990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
130,75990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
132,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
133,78800,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
134,29390,AMD Athlon Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
136,30990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
137,62490,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
138,89990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
140,58899,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
141,85990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
142,33099,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
145,63490,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
148,38990,AMD Ryzen 5 Quad Core Processor,8,32,512 GB ,Windows 11,DDR4,35.56
149,67990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
152,39790,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
153,241990,Apple M1 Pro Processor,16,64,1 TB ,Windows 11,DDR4,39.62
154,104990,Apple M1 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
155,42190,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,35.56
158,39990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
159,99990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
162,309490,Apple M1 Max Processor,32,64,1 TB ,Windows 11,DDR4,39.62
163,64990,Intel Core i5 Processor,16,64,256 GB ,Windows 11,DDR4,39.62
165,85990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 10,DDR4,39.62
168,222990,Apple M1 Pro Processor,16,64,1 TB ,Windows 11,DDR4,36.07
169,15990,Intel Celeron Dual Core Processor,4,64,128 GB ,Windows 11,DDR4,35.81
172,45900,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
173,79990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
174,56990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
175,34990,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
178,43580,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
179,74990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 10,DDR4,35.56
182,37490,Intel Core i3 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
183,20990,Intel Celeron Quad Core Processor,4,64,128 GB ,Windows 11,DDR4,35.56
184,109990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
185,71990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
188,32990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
189,43990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,35.56
192,25990,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,35.56
193,122990,Intel Core i9 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
194,68990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
195,59990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
198,39990,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
199,37990,Intel Core i3 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
202,25950,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 10,DDR4,35.56
203,64999,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
204,60990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
205,36990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
208,59990,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
209,222990,Apple M1 Pro Processor,16,64,512 GB ,Windows 11,DDR4,39.62
212,235283,Intel Core i9 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
213,38990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
214,67990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
215,79990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
222,89990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR5,39.62
223,241990,Intel Core i9 Processor,32,64,1 TB ,Windows 11,DDR5,39.62
224,43490,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
225,46990,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,35.56
228,40990,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
229,94990,Apple M1 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
232,114990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
233,121990,Apple M2 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
235,27990,Intel Pentium Silver Processor,8,64,256 GB ,Windows 11,DDR4,35.56
238,40190,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
239,34990,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
242,94990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,35.56
243,69990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
244,59990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
245,66990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
248,104990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
249,54900,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
252,136990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
253,48184,AMD Ryzen 5 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
254,74990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
255,60990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
258,49990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,35.56
259,67990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
262,58000,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
263,29990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
264,114990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,35.56
265,33990,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
268,64990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
269,79990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
273,56990,AMD Ryzen 5 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
274,81990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,35.56
275,129990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
278,38990,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
279,79990,AMD Ryzen 7 Octa Core Processor,16,64,256 GB ,Windows 10,DDR4,39.62
282,139990,Apple M2 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
283,109990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
284,154990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
285,62990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
288,47990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
289,43667,AMD Ryzen 3 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
290,135990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
292,98990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR5,39.62
293,46990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
294,35990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
296,109990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
297,139990,Apple M2 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
298,74770,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
300,40799,AMD Ryzen 3 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,35.56
301,69490,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
302,39990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
304,99990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR5,35.56
305,241990,Apple M1 Pro Processor,16,64,1 TB ,Windows 11,DDR4,39.62
306,40990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
308,60390,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
309,69990,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
310,44990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
312,44990,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
318,55990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
319,74990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
324,59990,Intel Core i5 Processor,8,64,1 TB ,Windows 11,DDR4,39.62
325,222990,Apple M1 Pro Processor,16,64,512 GB ,Windows 11,DDR4,39.62
332,62990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
334,58499,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
335,65990,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
338,111990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR5,39.62
339,68490,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
343,83990,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
